ID,Association Number,Association Name,Donation Receipt Date,Foreign Entity Name,Type of Foreign Entity,Donation Amount,Currency,Exchange Rate,Donation Purpose,Donation Conditions,Donation Year,Donation Quarter,Main Funding from Foreign Entity
93,580006559,פסטיבל ישראל~ ירושלים (ע~ר),03/01/2017,המכון הצרפתי,אורגן~ רשות או נציגות של מדינה זרה או של איחוד מדינות זרות,8998,שקל חדש,0.0,תמיכה במופעי הפסטיבל,קיום הפסטיבל,2015,3,לא
94,580006559,פסטיבל ישראל~ ירושלים (ע~ר),03/01/2017,שגרירות אוסטריה,אורגן~ רשות או נציגות של מדינה זרה או של איחוד מדינות זרות,4480,שקל חדש,0.0,תמיכה במופעי הפסטיבל,קיום פסטיבל,2015,3,לא
95,580006559,פסטיבל ישראל~ ירושלים (ע~ר),03/01/2017,שגרירות נורווגיה,אורגן~ רשות או נציגות של מדינה זרה או של איחוד מדינות זרות,6983,שקל חדש,0.0,השתתפות בהפקת מופע,קיום מופע,2015,3,לא
96,580006559,פסטיבל ישראל~ ירושלים (ע~ר),03/01/2017,USAID,אורגן~ רשות או נציגות של מדינה זרה או של איחוד מדינות זרות,7776,שקל חדש,0.0,תמיכה במופעי פסטיבל,קיום פסטיבל,2015,4,לא
97,580006559,פסטיבל ישראל~ ירושלים (ע~ר),03/01/2017,מכון גטה,אורגן~ רשות או נציגות של מדינה זרה או של איחוד מדינות זרות,29852,שקל חדש,0.0,תמיכה במופעי פסטיבל,קיום פסטיבל,2015,4,לא
98,580006559,פסטיבל ישראל~ ירושלים (ע~ר),03/01/2017,מכון גטה,אורגן~ רשות או נציגות של מדינה זרה או של איחוד מדינות זרות,231000,אירו,4.2,תמיכה ישירה במופע בפסטיבל,קיום מופע,2015,4,לא
99,580006559,פסטיבל ישראל~ ירושלים (ע~ר),03/01/2017,שגרירות רומניה,אורגן~ רשות או נציגות של מדינה זרה או של איחוד מדינות זרות,1,שקל חדש,0.0,השגרירות הייתה אחראית למימון הוצאות הפרויקט~ אמדן הוצאה כ- 5000 אירו.,קיום מופע,2015,4,לא
100,580006559,פסטיבל ישראל~ ירושלים (ע~ר),03/01/2017,USAID,אורגן~ רשות או נציגות של מדינה זרה או של איחוד מדינות זרות,30968,שקל חדש,0.0,תמיכה במופעי הפסטיבל,קיום הפסטיבל,2015,2,לא
101,580006559,פסטיבל ישראל~ ירושלים (ע~ר),22/05/2017,שגרירות איטליה בישראל,אורגן~ רשות או נציגות של מדינה זרה או של איחוד מדינות זרות,14840,שקל חדש,0.0,תמיכה בפסטיבל,קיום הפסטיבל,2016,4,לא
102,580006559,פסטיבל ישראל~ ירושלים (ע~ר),22/05/2017,המכון הצרפתי,אורגן~ רשות או נציגות של מדינה זרה או של איחוד מדינות זרות,7845,שקל חדש,0.0,תמיכה בפסטיבל ג'ז ירושלים,קיום פסטיבל,2016,4,לא
103,580006559,פסטיבל ישראל~ ירושלים (ע~ר),29/10/2017,שגרירות ספרד,אורגן~ רשות או נציגות של מדינה זרה או של איחוד מדינות זרות,7120,שקל חדש,0.0,תמיכה בפסטיבל,קיום פסטיבל,2017,3,לא
104,580006559,פסטיבל ישראל~ ירושלים (ע~ר),29/10/2017,שגרירות אוסטריה,אורגן~ רשות או נציגות של מדינה זרה או של איחוד מדינות זרות,12138,שקל חדש,0.0,תמיכה בפסטיבל,קיום פסטיבל,2017,3,לא
